BIN,IssuingCountry,ChargebackFlag
220285,RUSSIAN FEDERATION,0.0
220300,RUSSIAN FEDERATION,0.0
220303,RUSSIAN FEDERATION,0.0
220316,RUSSIAN FEDERATION,0.0
220324,RUSSIAN FEDERATION,0.0
220325,RUSSIAN FEDERATION,0.0
220333,RUSSIAN FEDERATION,0.0
220367,RUSSIAN FEDERATION,0.0
220372,RUSSIAN FEDERATION,0.0
220377,RUSSIAN FEDERATION,0.0
220392,RUSSIAN FEDERATION,0.0
220396,RUSSIAN FEDERATION,0.0
220398,RUSSIAN FEDERATION,0.0
220414,RUSSIAN FEDERATION,0.0
220417,RUSSIAN FEDERATION,0.0
220433,RUSSIAN FEDERATION,0.0
220437,RUSSIAN FEDERATION,0.0
220438,RUSSIAN FEDERATION,0.0
220446,RUSSIAN FEDERATION,0.0
220448,RUSSIAN FEDERATION,0.0
220453,RUSSIAN FEDERATION,0.0
220460,RUSSIAN FEDERATION,0.0
220469,RUSSIAN FEDERATION,0.0
220491,RUSSIAN FEDERATION,0.0
220544,PAKISTAN,0.0
222100,UNITED STATES,0.0
222647,UNITED KINGDOM,0.0
222668,MEXICO,0.0
222707,RUSSIAN FEDERATION,0.0
222711,INDIA,0.0
222737,RUSSIAN FEDERATION,0.0
222747,RUSSIAN FEDERATION,0.0
222752,KENYA,0.0
222767,RUSSIAN FEDERATION,0.0
222886,AUSTRALIA,0.0
222889,BRAZIL,0.0
222919,BRAZIL,0.0
222931,INDIA,0.0
222953,INDIA,0.0
222982,BRAZIL,0.0
223005,INDIA,0.0
223009,UNITED STATES,0.0
223032,BRAZIL,0.0
223035,BRAZIL,0.0
223062,BRAZIL,0.0
223064,BRAZIL,0.0
223116,BRAZIL,0.0
223126,BRAZIL,0.0
223127,BRAZIL,0.0
223213,BRAZIL,0.0
223254,BRAZIL,0.0
223257,BRAZIL,0.0
223315,BRAZIL,0.0
223407,BRAZIL,0.0
223408,INDIA,0.0
223413,BRAZIL,0.0
223423,BRAZIL,0.0
223435,BRAZIL,0.0
223447,BRAZIL,0.0
223461,BRAZIL,0.0
223462,BRAZIL,0.0
223465,SINGAPORE,0.0
223469,BRAZIL,0.0
223470,BRAZIL,0.0
223506,BRAZIL,0.0
223526,INDIA,0.0
223542,BRAZIL,0.0
223565,UNITED KINGDOM,0.0
223604,BRAZIL,0.0
229222,UNITED STATES,0.0
229242,UNITED STATES,0.0
229245,SINGAPORE,0.0
229246,SINGAPORE,0.0
230117,UNITED STATES,0.0
230133,UNITED STATES,0.0
230668,MEXICO,0.0
230692,BRAZIL,0.0
230848,MEXICO,0.0
230884,MEXICO,0.0
230903,MEXICO,0.0
230919,BRAZIL,0.0
230943,MEXICO,0.0
230948,MEXICO,0.0
230957,MEXICO,0.0
230969,MEXICO,0.0
230975,MEXICO,0.0
230978,MEXICO,0.0
230984,MEXICO,1.0
231022,BRAZIL,0.0
231032,BRAZIL,0.0
232016,INDIA,0.0
233059,BRAZIL,0.0
234025,BRAZIL,0.0
234041,BRAZIL,0.0
234054,BRAZIL,0.0
234067,BRAZIL,0.0
234073,BRAZIL,0.0
234076,BRAZIL,0.0
234102,UNITED STATES,0.0
234110,UNITED STATES,0.0
250008,MEXICO,0.0
250043,BRAZIL,0.0
250044,BRAZIL,0.0
250066,BRAZIL,1.0
265005,MEXICO,0.0
270334,RUSSIAN FEDERATION,1.0
271112,INDIA,0.0
271742,UNITED STATES,0.0
271796,UNITED STATES,0.0
271940,BRAZIL,0.0
276380,RUSSIAN FEDERATION,1.0
276880,RUSSIAN FEDERATION,0.0
300002,AUSTRALIA,0.0
300008,UNITED STATES,0.0
300016,UNITED STATES,0.0
300023,UNITED STATES,0.0
300045,UNITED STATES,0.0
300048,UNITED STATES,0.0
300051,UNITED STATES,0.0
300059,UNITED STATES,0.0
300070,UNITED STATES,0.0
300077,UNITED STATES,0.0
300082,UNITED STATES,0.0
300084,UNITED STATES,0.0
300088,UNITED STATES,0.0
300097,UNITED STATES,0.0
300100,JAPAN,0.0
300114,UNITED STATES,0.0
300120,UNITED STATES,0.0
300130,UNITED STATES,0.0
300142,UNITED STATES,0.0
300156,UNITED STATES,0.0
300167,UNITED STATES,0.5
300169,UNITED STATES,0.0
300173,UNITED STATES,0.0
300186,UNITED STATES,0.0
300189,UNITED STATES,0.0
300193,UNITED STATES,0.0
300207,UNITED STATES,0.0
300214,UNITED STATES,1.0
300227,UNITED STATES,0.0
300235,UNITED STATES,0.0
300238,UNITED STATES,0.0
300241,UNITED STATES,0.0
300242,UNITED STATES,0.0
300245,UNITED STATES,0.0
300246,UNITED STATES,0.0
300249,UNITED STATES,0.0
300253,UNITED STATES,0.0
300259,UNITED STATES,0.0
300263,UNITED STATES,0.0
300283,UNITED STATES,0.0
300302,UNITED STATES,0.0
300317,UNITED STATES,0.0
300342,UNITED STATES,0.0
300346,UNITED STATES,0.0
300352,UNITED STATES,0.0
300364,UNITED STATES,0.0
300375,UNITED STATES,0.0
300376,UNITED STATES,0.0
300379,UNITED STATES,1.0
300382,UNITED STATES,0.0
300395,UNITED STATES,0.0
300400,UNITED STATES,0.0
300406,UNITED STATES,0.0
300413,UNITED STATES,0.0
300436,UNITED STATES,0.0
300439,UNITED STATES,0.0
300442,UNITED STATES,1.0
300461,UNITED STATES,0.0
300472,BRAZIL,1.0
300477,UNITED STATES,0.0
300482,UNITED STATES,0.0
300492,UNITED STATES,0.0
300494,UNITED STATES,0.0
300504,UNITED STATES,0.0
300506,UNITED STATES,0.0
300508,UNITED STATES,0.0
300522,UNITED STATES,0.0
300524,UNITED STATES,0.0
300526,UNITED STATES,0.0
300530,UNITED STATES,0.0
300537,UNITED STATES,0.0
300538,ITALY,0.0
300540,UNITED STATES,0.0
300542,UNITED STATES,0.0
300543,UNITED STATES,0.0
300561,UNITED STATES,0.0
300584,UNITED STATES,0.0
300585,UNITED STATES,0.0
300587,UNITED STATES,0.0
300588,UNITED STATES,0.0
300666,UNITED STATES,0.0
300669,UNITED STATES,0.0
300671,UNITED STATES,0.0
300686,UNITED STATES,0.0
300689,UNITED STATES,1.0
300693,UNITED STATES,0.0
300704,UNITED STATES,0.0
300705,UNITED STATES,0.0
300707,UNITED STATES,0.0
300716,UNITED STATES,0.0
300720,UNITED STATES,0.0
300725,UNITED STATES,0.0
300727,UNITED STATES,0.0
300749,UNITED STATES,0.0
300768,UNITED STATES,0.0
300772,UNITED STATES,0.0
300797,UNITED STATES,0.0
300800,UNITED STATES,0.0
300816,UNITED STATES,0.0
300822,UNITED STATES,0.0
300825,UNITED STATES,0.0
300836,UNITED STATES,0.0
300842,UNITED STATES,0.0
300852,UNITED STATES,0.0
300874,UNITED STATES,0.0
300875,UNITED STATES,0.0
300879,UNITED STATES,0.0
300903,UNITED STATES,1.0
300918,UNITED STATES,0.0
300926,UNITED STATES,0.0
300932,UNITED STATES,0.0
300934,UNITED STATES,0.0
300940,UNITED STATES,0.0
300941,UNITED STATES,0.0
300945,UNITED STATES,0.0
300947,UNITED STATES,0.0
300953,UNITED STATES,0.0
300961,UNITED STATES,0.0
300963,UNITED STATES,1.0
300976,UNITED STATES,0.0
300981,UNITED STATES,0.0
300982,UNITED STATES,0.0
301004,UNITED STATES,0.0
301011,UNITED STATES,0.0
301014,UNITED STATES,0.0
301019,UNITED STATES,0.0
301023,UNITED STATES,0.0
301058,UNITED STATES,0.0
301066,UNITED STATES,0.0
301067,UNITED STATES,0.0
301069,UNITED STATES,0.0
301077,UNITED STATES,0.0
301082,UNITED STATES,0.0
301103,UNITED STATES,0.0
301112,UNITED STATES,0.0
301113,UNITED STATES,0.0
301123,UNITED STATES,0.0
301133,UNITED STATES,0.0
301135,UNITED STATES,0.0
301140,UNITED STATES,0.0
301149,UNITED STATES,0.0
301153,BRAZIL,0.0
301156,UNITED STATES,0.0
301186,UNITED STATES,0.0
301187,UNITED STATES,0.0
301213,UNITED KINGDOM,0.0
301221,UNITED STATES,0.0
301226,UNITED STATES,0.0
301228,UNITED STATES,0.0
301230,UNITED STATES,0.0
301233,UNITED STATES,0.0
301249,UNITED STATES,0.0
301250,UNITED STATES,0.0
301255,UNITED STATES,0.0
301282,UNITED STATES,0.0
301293,UNITED STATES,0.0
301295,UNITED STATES,0.0
301300,UNITED STATES,0.0
301301,UNITED STATES,0.0
301314,UNITED STATES,0.0
301318,UNITED STATES,0.0
301319,UNITED STATES,0.0
301327,UNITED STATES,0.0
301342,UNITED STATES,0.0
301359,UNITED STATES,0.0
301377,UNITED STATES,0.0
301385,UNITED STATES,0.0
301390,UNITED STATES,0.0
301394,UNITED STATES,0.0
301400,UNITED KINGDOM,0.0
301413,UNITED STATES,0.0
301415,UNITED STATES,0.0
301417,UNITED STATES,0.0
301426,UNITED STATES,1.0
301429,UNITED STATES,0.0
301447,UNITED STATES,0.0
301449,UNITED STATES,0.0
